"Año";"Periodo";"Estimación futura"
"1950";"Año";"2.477.675"
"1951";"Año";"2.520.970"
"1952";"Año";"2.565.291"
"1953";"Año";"2.615.251"
"1954";"Año";"2.665.307"
"1955";"Año";"2.718.652"
"1956";"Año";"2.773.493"
"1957";"Año";"2.828.513"
"1958";"Año";"2.887.221"
"1959";"Año";"2.944.995"
"1960";"Año";"2.995.589"
"1961";"Año";"3.042.878"
"1962";"Año";"3.093.864"
"1963";"Año";"3.159.510"
"1964";"Año";"3.232.049"
"1965";"Año";"3.302.376"
"1966";"Año";"3.371.848"
"1967";"Año";"3.440.986"
"1968";"Año";"3.509.910"
"1969";"Año";"3.583.711"
"1970";"Año";"3.657.599"
"1971";"Año";"3.733.182"
"1972";"Año";"3.807.145"
"1973";"Año";"3.882.457"
"1974";"Año";"3.958.046"
"1975";"Año";"4.032.988"
"1976";"Año";"4.105.886"
"1977";"Año";"4.179.126"
"1978";"Año";"4.252.419"
"1979";"Año";"4.326.896"
"1980";"Año";"4.404.270"
"1981";"Año";"4.483.746"
"1982";"Año";"4.565.510"
"1983";"Año";"4.650.460"
"1984";"Año";"4.733.308"
"1985";"Año";"4.818.364"
"1986";"Año";"4.905.097"
"1987";"Año";"4.995.029"
"1988";"Año";"5.086.940"
"1989";"Año";"5.177.648"
"1990";"Año";"5.269.760"
"1991";"Año";"5.362.591"
"1992";"Año";"5.449.900"
"1993";"Año";"5.535.472"
"1994";"Año";"5.619.395"
"1995";"Año";"5.702.061"
"1996";"Año";"5.784.378"
"1997";"Año";"5.865.912"
"1998";"Año";"5.947.050"
"1999";"Año";"6.027.575"
"2000";"Año";"6.107.942"
"2001";"Año";"6.189.856"
"2002";"Año";"6.271.638"
"2003";"Año";"6.353.177"
"2004";"Año";"6.434.620"
"2005";"Año";"6.516.883"
"2006";"Año";"6.599.469"
"2007";"Año";"6.683.363"
"2008";"Año";"6.768.534"
"2009";"Año";"6.854.661"
"2010";"Año";"6.941.951"
"2011";"Año";"7.029.255"
"2012";"Año";"7.116.996"
"2013";"Año";"7.206.400"
"2014";"Año";"7.294.787"
"2015";"Año";"7.383.240"
"2016";"Año";"7.469.955"
"2017";"Año";"7.556.993"
"2018";"Año";"7.642.651"
"2019";"Año";"7.724.928"
"2020";"Año";"7.804.974"
"2021";"Año";"7.876.932"
"2022";"Año";"7.941.658"
"2023";"Año";"8.008.552"
"2024";"Año";"8.082.071"
"2025";"Año";"8.155.601"
"2026";"Año";"8.228.376"
"2027";"Año";"8.300.353"
"2028";"Año";"8.371.602"
"2029";"Año";"8.442.055"
"2030";"Año";"8.511.723"
"2031";"Año";"8.580.559"
"2032";"Año";"8.648.506"
"2033";"Año";"8.715.678"
"2034";"Año";"8.781.919"
"2035";"Año";"8.847.231"
"2036";"Año";"8.911.564"
"2037";"Año";"8.974.850"
"2038";"Año";"9.037.203"
"2039";"Año";"9.098.575"
"2040";"Año";"9.158.747"
"2041";"Año";"9.217.754"
"2042";"Año";"9.275.593"
"2043";"Año";"9.332.201"
"2044";"Año";"9.387.472"
"2045";"Año";"9.441.345"
"2046";"Año";"9.493.743"
"2047";"Año";"9.544.639"
"2048";"Año";"9.593.957"
"2049";"Año";"9.641.592"
"2050";"Año";"9.687.440"
"2051";"Año";"9.731.543"
"2052";"Año";"9.773.770"
"2053";"Año";"9.814.434"
"2054";"Año";"9.853.289"
"2055";"Año";"9.890.513"
"2056";"Año";"9.926.097"
"2057";"Año";"9.960.149"
"2058";"Año";"9.992.731"
"2059";"Año";"10.023.889"
"2060";"Año";"10.053.522"
"2061";"Año";"10.081.945"
"2062";"Año";"10.109.201"
"2063";"Año";"10.135.414"
"2064";"Año";"10.160.484"
"2065";"Año";"10.184.543"
"2066";"Año";"10.207.386"
"2067";"Año";"10.229.160"
"2068";"Año";"10.250.008"
"2069";"Año";"10.269.738"
"2070";"Año";"10.288.412"
"2071";"Año";"10.305.922"
"2072";"Año";"10.322.363"
"2073";"Año";"10.337.757"
"2074";"Año";"10.352.026"
"2075";"Año";"10.365.079"
"2076";"Año";"10.376.909"
"2077";"Año";"10.387.452"
"2078";"Año";"10.396.712"
"2079";"Año";"10.404.787"
"2080";"Año";"10.411.747"
"2081";"Año";"10.417.528"
"2082";"Año";"10.422.175"
"2083";"Año";"10.425.871"
"2084";"Año";"10.428.582"
"2085";"Año";"10.430.313"
"2086";"Año";"10.431.046"
"2087";"Año";"10.430.807"
"2088";"Año";"10.429.728"
"2089";"Año";"10.427.933"
"2090";"Año";"10.425.269"
"2091";"Año";"10.421.813"
"2092";"Año";"10.417.482"
"2093";"Año";"10.412.438"
"2094";"Año";"10.406.544"
"2095";"Año";"10.400.000"
"2096";"Año";"10.392.611"
"2097";"Año";"10.384.423"
"2098";"Año";"10.375.354"
"2099";"Año";"10.365.536"
"2100";"Año";"10.355.002"
;;
;;
"Métrica":"Estimación futura"
"Fuente":"ONU"
"Clasificación":""
"Unidad":"Población"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/evolucion-prevista-poblacion-mundial/62f77353-e957-4cb2-8cbb-bf49d4460cdf"
"Titulo":"Evolución de la población mundial y estimación hasta 2100"
"Subtitulo":"El 15 de noviembre de 2022 se alcanzaron los 8.000 millones de habitantes"
